date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2012-09-14,14.2,14.23,14.05,13.86,682383.0,-0.16,-1.13,14.376,14.669,15.086,701316.59,642216.14,735575.88
2012-09-07,14.22,14.4,14.21,13.54,866374.0,0.02,0.14,14.582,14.778,15.211,689225.7,648517.23,768175.55
2012-08-31,14.36,14.46,14.19,14.03,571844.31,-0.18,-1.25,14.77,14.873,15.33,631329.45,628525.83,765241.45
2012-08-24,14.99,15.0,14.37,14.36,730665.62,-0.69,-4.58,14.882,14.944,15.435,623441.74,635061.19,787092.41
2012-08-17,15.1,15.3,15.06,14.86,655316.0,-0.02,-0.13,14.978,15.023,15.516,581071.4,699715.72,769442.53
2012-08-10,15.13,15.22,15.08,14.91,621928.56,-0.07,-0.46,14.962,14.998,15.549,583115.69,747748.3,771343.32
2012-08-03,14.76,15.22,15.15,14.76,576892.75,0.4,2.71,14.974,15.068,15.595,607808.75,780829.57,781212.58
2012-07-27,14.76,14.97,14.75,14.61,532405.75,-0.1,-0.67,14.976,15.115,15.658,625722.2,772369.97,821070.78
2012-07-20,15.0,15.1,14.85,14.82,518813.94,-0.13,-0.87,15.006,15.212,15.764,646680.65,797426.7,879574.59
2012-07-13,15.06,15.14,14.98,14.65,665537.44,-0.16,-1.06,15.068,15.329,15.895,818360.04,839193.89,941302.8
2012-07-06,15.23,15.48,15.14,14.75,745393.88,-0.02,-0.13,15.034,15.502,15.99,912380.9,828935.62,960927.68
2012-06-29,14.88,15.23,15.16,14.7,666460.0,0.26,1.75,15.162,15.644,16.055,953850.39,887833.87,971123.07
2012-06-21,15.14,15.5,14.9,14.86,637198.0,-0.26,-1.72,15.254,15.786,16.143,919017.74,901957.07,969514.34
2012-06-15,14.85,15.35,15.16,14.45,1377210.88,0.35,2.36,15.418,15.926,16.247,948172.76,939123.62,995954.48
2012-06-08,15.61,15.64,14.81,14.77,1135641.75,-0.97,-6.15,15.59,16.009,16.328,860027.74,839169.34,956427.72
2012-06-01,15.62,15.96,15.78,15.52,952741.31,0.16,1.02,15.97,16.099,16.377,745490.34,794938.34,910702.57
2012-05-25,15.72,15.99,15.62,15.6,492296.78,-0.1,-0.64,16.126,16.122,16.355,821817.36,781595.59,889322.61
2012-05-18,16.14,16.16,15.72,15.66,782973.06,-0.3,-1.87,16.318,16.2,16.354,884896.4,869771.59,900499.44
2012-05-11,16.61,16.74,16.02,16.01,936485.81,-0.69,-4.13,16.434,16.315,16.339,930074.49,961722.49,890283.86
2012-05-04,16.72,16.94,16.71,16.57,562954.75,0.15,0.91,16.428,16.461,16.302,818310.94,1043411.72,879028.62
2012-04-27,16.54,17.12,16.56,16.35,1334376.38,-0.02,-0.12,16.228,16.477,16.259,844386.33,1092919.73,877682.39
2012-04-20,16.19,16.6,16.58,15.98,807692.0,0.28,1.72,16.118,16.466,16.228,741373.83,1054412.27,862962.42
2012-04-13,15.9,16.61,16.3,15.58,1008863.5,0.31,1.94,16.082,16.499,16.189,854646.78,1037071.62,855799.12
2012-04-06,15.71,16.01,15.99,15.45,377668.09,0.28,1.78,16.196,16.568,16.171,993370.48,1052785.34,847810.88
2012-03-30,16.02,16.16,15.71,15.46,693331.69,-0.3,-1.87,16.494,16.647,16.2,1268512.49,1073686.1,862104.42
2012-03-23,16.34,16.4,16.01,15.96,819313.88,-0.39,-2.38,16.726,16.654,16.264,1341453.13,1026466.8,872812.66
2012-03-16,16.88,17.04,16.4,16.16,1374056.75,-0.47,-2.79,16.814,16.588,16.315,1367450.7,997049.63,887636.17
2012-03-09,17.53,17.78,16.87,16.66,1702482.0,-0.61,-3.49,16.916,16.507,16.296,1219496.45,931227.3,847472.72
2012-03-02,16.9,17.5,17.48,16.76,1753378.12,0.61,3.62,16.94,16.362,16.271,1112200.2,818845.23,808888.37
2012-02-24,16.48,16.87,16.87,16.34,1058034.88,0.42,2.55,16.8,16.142,16.199,878859.71,714645.52,755602.33
2012-02-17,16.79,16.81,16.45,16.36,949301.75,-0.46,-2.72,16.582,16.04,16.186,711480.47,662445.06,736454.11
2012-02-10,17.0,17.02,16.91,16.54,634285.5,-0.08,-0.47,16.362,15.99,16.214,626648.56,671512.57,728519.51
2012-02-03,16.81,17.04,16.99,16.43,1166000.75,0.21,1.25,16.098,15.878,16.192,642958.15,674526.62,726268.21
2012-01-20,16.73,16.94,16.78,16.32,586675.69,1.0,6.34,15.784,15.774,16.189,525490.26,642836.41,713816.4
2012-01-09,15.36,15.81,15.78,15.25,221138.66,0.43,2.8,15.484,15.753,16.219,550431.33,650522.74,738575.08
2012-01-06,15.59,15.59,15.35,15.13,525142.19,-0.43,-2.76,15.498,15.873,16.26,613409.65,719158.51,773231.01
